web-scraper-order,web-scraper-start-url,product_link,product_link-href,image_1,image_1-href,image_2,image_2-href,image_3,image_3-href,prix,marque,taille,etat,couleur,emplacement,titre,description,categorie,nom
"1579833126-500","https://www.vinted.fr/femmes/vetements?page=9","","https://www.vinted.fr/femmes/midi/397523920-robe-a-carreaux-noir-et-blanc","","https://images.vinted.net/thumbs/f800/06f52_ybDYNF3u9GJ38JTfeq7DNsRh.jpeg?1579534439-eb94462929dfb88f3a3c3541b0986f77ba2d430f","","https://images.vinted.net/thumbs/f800/0661b_8fND6iEQu3QhTCrRhcBDsX3U.jpeg?1579534439-ef63b19141d2c4775e92f8665bec491bea0708de","","https://images.vinted.net/thumbs/f800/055e3_7SgyxUPo4qRnPZaThcZk8UAK.jpeg?1579534439-26a1b70fcb7c353a350603235aa0359004121eaf","8,00 €","H&M","M / 38 / 10","Très bon état","noir, blanc","Sarreguemines, France","robe à carreaux noir et blanc","robe mi-longue peut aussi se porter comme tunique, Très bon état aucun defaut comme neuf, h&m.","Robes","robe à carreaux noir et blanc"
"1579832878-277","https://www.vinted.fr/femmes/vetements?page=35","","https://www.vinted.fr/femmes/chemises/397894293-body-estampado-zara","","https://images.vinted.net/thumbs/f800/0621c_bi5ZyrmEjDNA619RzyLWagYH.jpeg?1579561240-d2bc855da221828d1cc4796b0fbc0e889e63b4d1","","https://images.vinted.net/thumbs/f800/050db_SZPVLxAUvTW9qYpB7k7ThPCX.jpeg?1579561240-4be83d882cfafe46fcc88646e79e8c38c8639453","null","","12,00 €","Zara","L / 40 / 12","Très bon état","orange","Sevilla, España","Body estampado Zara","talla L, usado una única vez","Hauts & Tee-shirts","Body estampado Zara"
"1579833032-415","https://www.vinted.fr/femmes/vetements?page=19","","https://www.vinted.fr/femmes/sweats-et-sweats-a-capuche-sweats-et-sweats-a-capuche/379226846-sweat-lee-cooper","","https://images.vinted.net/thumbs/f800/05f7f_Tr8W7K7hCej56N3cMPgwMFZt.jpeg?1577558038-fb3fc0e35ba2a1886ade6db49bb72441f81fc58b","","https://images.vinted.net/thumbs/f800/059db_4b7a2cvDKH6cs4zfccX7WsJ2.jpeg?1577558038-a6533b462806404bbd61bf361ebd3e8cf68a2094","","https://images.vinted.net/thumbs/f800/06eb1_S21eorPfjYt6oVZy5ifcLWE2.jpeg?1577558038-7dbdcd525f4645f24f9c85c5ab8de6f0a6e4ec4b","20,00 €","Lee Cooper","S / 36 / 8","Neuf, avec étiquette","rouge, bleu","Grigny, France","Sweat Lee Cooper","Sweat court Lee Cooper.
Taille S. Taille US 10.
Prix magasin 35,99 euros. Avec étiquette faisant foi.
Neuf.","Sweats et sweats à capuche","Sweat Lee Cooper"
"1579833080-459","https://www.vinted.fr/femmes/vetements?page=13","","https://www.vinted.fr/femmes/maxi/333445928-robe-boheme-sm-3638-charlie-joe","","https://images.vinted.net/thumbs/f800/030df_vuv5W35H5JeqwwuxbfbXgt6f.jpeg?1572299618-b1d1ae15240f19d0f49ab9b5114db067bd0b38b5","","https://images.vinted.net/thumbs/f800/02632_EYm8t9P3MMw15TuSuABjFhCP.jpeg?1572299618-e1755db720662f3531006d532e645518cf31f055","","https://images.vinted.net/thumbs/f800/03052_EufV3xRpBJJDpF9UW595Crre.jpeg?1572299618-652be085b26a6a9f4a60ab8dfb4f30e7575ba6f8","160,00 €","Charlie Joe","S / 36 / 8","Neuf","bleu, crème","Brive-la-Gaillarde, France","Robe bohème  S/M  36/38 Charlie Joe","Robe longue hippie chic entièrement doublée, boutonnée devant, fendue sur les cotés, col arrondi, manches longues, imprimé fleuri rayé de fils lurex dorés
C'est une sublime pièce de chez Charlie Joe. Semblable aux marques comme Ba&sh  Kooples maje Claudie pierlot etc
Style Zara mais de haute qualité
C'est un s mais over size donc convient à un m.
Elle est en mousseline légère et fluide. Très féminine.
Il y a une vidéo de cette robe sur you tube.","Robes","Robe bohème  S/M  36/38 Charlie Joe"
"1579832883-282","https://www.vinted.fr/femmes/vetements?page=35","","https://www.vinted.fr/femmes/blazers/398654482-blazer-bleu-vintage-pierre-cardin","","https://images.vinted.net/thumbs/f800/066df_GAkYHAbY8GCkxpTnqvUJLyJp.jpeg?1579733849-6ab3669f4d21e0b4ff5ab451d85a699b959979b5","","https://images.vinted.net/thumbs/f800/06a53_L3CTywpTyKKGEB4Yot1dtmkz.jpeg?1579733849-7703d06c25dd5be49b7d28d98e643b27b734b1fc","","https://images.vinted.net/thumbs/f800/067fd_s4Y61pnyt4Yg5n7N2j6mhfe4.jpeg?1579733849-46f6deecc44edd00d21371f19fdd4e2ae5d225ef","13,50 €","Pierre Cardin","L / 40 / 12","Bon état","bleu","Meaux, France","Blazer bleu vintage Pierre Cardin","Joli blazer bleu vintage, bon êtat, il n'a pas d'étiquette de taille mais il convient pour un M ou L

#vintage#blazervintage#blazerbleu#blazerpierrecardin","Blazers & tailleurs","Blazer bleu vintage Pierre Cardin"
"1579832888-287","https://www.vinted.fr/femmes/vetements?page=34","","https://www.vinted.fr/femmes/vestes-legeres/228931005-veste-burton-blanc-cassee-beige-taille-44-neuve","","https://images.vinted.net/thumbs/f800/04996_R6oseuGqS9tuHooArtTqvEt2.jpeg?1558716014-ac1ad46892ff01efc3d0e23fcdd6751f39cf8844","","https://images.vinted.net/thumbs/f800/049b2_gYQsHsdL9eyEvVe9Q1xkrYaB.jpeg?1558716014-880f6c942681ce94eaa0a5f50794e3839c5cb748","","https://images.vinted.net/thumbs/f800/036f4_KUUTDChM6io3nomy64ftiZrF.jpeg?1558716014-0d12df64ceb15a68a72b6f05448aa4ea59c86e98","35,00 €","Burton","XXL / 44 / 16","Neuf, avec étiquette","beige , blanc","Versailles, France","Veste Burton blanc cassée beige taille 44 neuve","Bonjour 

Je vends cette veste Burton blanc cassée beige taille 44 neuve jamais porté avec son étiquette. 

prix de base magasin 129€


Merci","Manteaux & vestes","Veste Burton blanc cassée beige taille 44 neuve"
"1579833195-559","https://www.vinted.fr/femmes/vetements?page=2","","https://www.vinted.fr/femmes/parkas/375583408-vends-belle-doudoune-rouge-t-4446-a-25-euros-peau-de-peche","","https://images.vinted.net/thumbs/f800/06ba9_Xzoc8kX9kDGC5xT6hQRugDuB.jpeg?1576872947-d028db3c5585398be14dca4087df211e80cc0b12","","https://images.vinted.net/thumbs/f800/0644f_iczNgtMR3iApNnQ8yTo62G51.jpeg?1576872947-53322c908bfddda7d9a9f511300b106ee61bcbaf","","https://images.vinted.net/thumbs/f800/05897_xMoYmgLwhy8jJn6WnYadrNHJ.jpeg?1576872947-8bea7d10b5a1c68fbb9ae484bd019254a11d447c","25,00 €","Aucune","XXXL / 46 / 18","Très bon état","rouge","Paris, France","Vends belle doudoune rouge t 44/46 à 25 euros peau de peche","Vends belle doudoune rouge t 44/46 à 25 euros valeur 59 euros profitez!!!!😆😊😉😃😄","Manteaux & vestes","Vends belle doudoune rouge t 44/46 à 25 euros peau de peche"
"1579832772-182","https://www.vinted.fr/femmes/vetements?page=46","","https://www.vinted.fr/femmes/vestes-en-duvet/387385585-doudoune-ddp","","https://images.vinted.net/thumbs/f800/052b0_EgGyL7QDkVY9pAsKDyfB6zhV.jpeg?1578560532-5098d967783fc1d3be6cc8d244e83942748781fa","","https://images.vinted.net/thumbs/f800/06ee7_g85Kw7HSsTnKH8v8T8N8rqz6.jpeg?1578560532-3311cc3701a1dc47d91516b1a68fa1bab50ee077","","https://images.vinted.net/thumbs/f800/069fa_p8FJRqdAAMuKB1vjaDN8cxFL.jpeg?1578560532-9bbbb71574c36bfbdcc7499da458b503834333ad","25,00 €","DDP","M / 38 / 10","Très bon état","noir","Rives, France","Doudoune Ddp","doudoune courte 
original DDP
couleur noire 
2 poches zips 
capuche 
100% nylon 
doublure bariolée 100% polyester 
écuissons DDP sur le bras","Manteaux & vestes","Doudoune Ddp"
"1579833157-526","https://www.vinted.fr/femmes/vetements?page=6","","https://www.vinted.fr/femmes/mini/396857684-vestido-de-cuero-rojo","","https://images.vinted.net/thumbs/f800/051c7_qn5eXjkZk8DgwURSrQMgR3vb.jpeg?1579461498-111cdacd20aa609e6caaad585e1dd4ed3ab7f506","","https://images.vinted.net/thumbs/f800/05ad6_bCDdghToXuzbrGmbaWyoFiLg.jpeg?1579461498-a12891ea5bbb497f85d07635dcc7066e5cc94723","null","","75,00 €","Mercader","S / 36 / 8","Très bon état","rouge","España","Vestido de cuero rojo","Vestido de cuero rojo, con manga 3/4, abotonado. Con cinturón ajustable en la cintura. También sirve como abrigo. En perfecto estado. Usado muy pocas veces.","Robes","Vestido de cuero rojo"
"1579833114-488","https://www.vinted.fr/femmes/vetements?page=10","","https://www.vinted.fr/femmes/vestes-en-cuir/394317682-veste-cuiropolis","","https://images.vinted.net/thumbs/f800/05677_URwxwouf7EksxjPqqQuLvH7K.jpeg?1579788049-40cd1cfb174d90022841e8bbc342b8c2dddd1ee1","","https://images.vinted.net/thumbs/f800/070cd_m8R1GAv8sihuMk27z3Ru1cos.jpeg?1579788049-c947b219d41593086552cf69c5e85db050e90acd","","https://images.vinted.net/thumbs/f800/07365_SsFgJfym8S9A5G69ATaUgGyQ.jpeg?1579788049-8511be6c6d3bd139d3d59a5c541849ff330ca3a1","75,00 €","Vintage","M / 38 / 10","Neuf","marron, orange","France","Veste CuiroPolis🌾","Magnifique veste vintage en cuir de la marque Cuiropolis Taille 38, accompagnée de sa ceinture. Cette pièce est neuve (jamais portée). N'hésitez pas à me contacter pour toutes questions 🙂. #veste #blouson #cuir #taille38 #blazer #manteau #leather #coat #jacket #stylevintage #vintage","Manteaux & vestes","Veste CuiroPolis🌾"
